"","1991","1993","1995","1997","1999","2001","2003","2005","2007","2009","2011","2013","2015","2017","2019"
"AK",0,0,0,0,0,0,1438,0,1268,1217,1279,1183,1343,1279,1799
"AL",0,0,0,0,0,1551,1064,1026,0,1457,1336,1518,1510,0,1971
"AR",0,0,0,0,0,1670,0,1502,1563,1627,1327,1491,2746,1593,1935
"AZ",0,0,0,0,0,0,3369,3216,2929,2485,2747,1566,2478,2056,1859
"CA",0,0,0,0,0,0,0,0,0,0,0,0,1873,1708,1298
"CO",0,0,0,0,0,0,0,1475,0,1491,1424,0,0,1427,1288
"CT",0,0,0,0,0,0,0,2206,1996,2319,2000,2307,2315,2331,1981
"DE",0,0,0,0,0,2862,2969,2633,2357,2256,2187,2584,2636,2801,0
"FL",0,0,0,0,0,4064,3949,4444,4353,5365,5977,5831,6081,5919,5527
"GA",0,0,0,0,0,0,2046,1728,2393,1826,1897,1907,0,0,4347
"HI",0,0,0,0,0,0,0,1626,1148,1455,4172,4465,5773,5686,5527
"IA",0,0,0,0,0,0,0,1350,1419,0,1513,0,0,1635,1532
"ID",0,0,0,0,0,1687,1702,1426,1384,2102,1659,1838,1705,1774,1174
"IL",0,0,0,0,0,0,0,0,2362,2932,3507,3148,3133,4745,2989
"KS",0,0,0,0,0,0,0,1633,1692,1998,1833,1894,0,2337,1360
"KY",0,0,0,0,0,0,1562,3231,3482,1726,1669,1587,2465,1932,1920
"LA",0,0,0,0,0,0,0,0,1298,1002,1115,1062,0,1186,1241
"MD",0,0,0,0,0,0,0,1397,1485,1590,2791,51137,52841,48392,38973
"ME",0,0,0,0,0,1320,1634,1325,1267,8444,9074,8341,9112,9003,7995
"MI",0,0,0,0,0,3521,3374,3171,3425,3314,4082,4137,4661,1568,4365
"MO",0,0,0,0,0,1632,1532,1861,1520,1596,0,1556,1431,1759,1156
"MS",0,0,0,0,0,1790,1471,0,1563,1763,1751,1559,2038,0,1693
"MT",0,0,0,0,0,2622,2678,2987,3845,1785,4020,4744,4308,4596,3676
"NC",0,0,0,0,0,2520,2521,3821,3397,5549,2215,1791,5886,3022,2907
"ND",0,0,0,0,0,1580,1649,1710,1721,1767,1862,1919,2064,2064,1975
"NE",0,0,0,0,0,0,2913,3706,0,0,2641,1747,1633,1381,1275
"NH",0,0,0,0,0,0,1298,1249,1581,1450,1359,1589,14305,11552,13084
"NJ",0,0,0,0,0,2102,0,1482,0,1724,1617,1661,0,0,1360
"NM",0,0,0,0,0,0,0,5415,2558,4890,5685,5325,8170,5650,7447
"NV",0,0,0,0,0,1439,1947,1528,1729,2017,0,2069,1393,1607,1359
"NY",0,0,0,0,0,0,9077,9456,12768,14134,12517,10026,10109,10674,10159
"OK",0,0,0,0,0,0,1366,1688,2562,1397,1136,1465,1559,1583,1937
"PA",0,0,0,0,0,0,0,0,0,2037,0,0,2795,3599,2255
"RI",0,0,0,0,0,1361,1775,2315,2132,3106,3814,2357,3309,2128,1535
"SC",0,0,0,0,0,0,0,1281,1205,1070,1437,1552,1309,1425,1153
"SD",0,0,0,0,0,1596,1803,1567,1577,2121,1502,1272,1257,0,1385
"TN",0,0,0,0,0,0,1919,1529,2019,2175,2583,1847,3970,1975,2148
"TX",0,0,0,0,0,6974,0,4098,3116,3435,4054,3086,0,2027,1954
"UT",0,0,0,0,0,1042,1359,1437,1898,1543,1656,2118,0,1772,1476
"VA",0,0,0,0,0,0,0,0,0,0,1400,6641,4309,3565,4531
"VT",0,0,0,0,0,6965,5928,6996,5743,8188,8267,0,20149,19642,18270
"WI",0,0,0,0,0,2091,2100,2352,2056,2392,2959,2776,0,1993,1786
"WV",0,0,0,0,0,0,1719,1317,1353,1603,2119,1753,1567,1480,1342
"WY",0,0,0,0,0,2684,1507,2455,2174,2802,2438,2924,2317,0,0
